Date,High,Low,Mid,Last,Bid,Ask,Volume,First
2022-03-19,1.54,1.4965,1.52245,1.521,1.5219,1.523,182448.20031773,1.497
2022-03-20,1.5354,1.4586,1.47385,1.4753,1.4731,1.4746,105771.8785022,1.521
2022-03-21,1.4983,1.4435,1.4703,1.4699,1.4697,1.4709,62953.42451627,1.4753
2022-03-22,1.5341,1.4581,1.5103,1.5092,1.5098,1.5108,331526.06559816,1.4699
2022-03-23,1.5529,1.4935,1.5421,1.542,1.5416,1.5426,2173757.45554475,1.5092
2022-03-24,1.6355,1.5436,1.61995,1.6187,1.6194,1.6205,2026228.39293851,1.542
2022-03-25,1.6618,1.5646,1.57745,1.576,1.5772,1.5777,868746.65532937,1.6187
2022-03-26,1.6093,1.5694,1.61035,1.6093,1.6101,1.6106,117020.9934427,1.576
2022-03-27,1.6889,1.603,1.68225,1.6785,1.6815,1.683,230991.18951055,1.6093
2022-03-28,1.7455,1.6771,1.67925,1.6805,1.6785,1.68,614468.69675197,1.6785
2022-03-29,1.7359,1.6372,1.6607,1.6597,1.6604,1.661,1409338.70905188,1.6805
2022-03-30,1.7253,1.629,1.69285,1.6912,1.6925,1.6932,1282197.08560991,1.6597
2022-03-31,1.7487,1.6169,1.6223,1.6211,1.6218,1.6228,1315687.38402262,1.6912
2022-04-01,1.712,1.5614,1.6906,1.6905,1.69,1.6912,507818.7471541,1.6211
2022-04-02,1.7293,1.6529,1.6776,1.6762,1.677,1.6782,619743.77259643,1.6905
2022-04-03,1.7123,1.6321,1.69065,1.6897,1.6898,1.6915,377101.7114689,1.6762
2022-04-04,1.6929,1.6076,1.6532,1.6546,1.6528,1.6536,372299.27881156,1.6897
2022-04-05,1.6753,1.5973,1.60645,1.605,1.606,1.6069,282022.82971187,1.6546
2022-04-06,1.6028,1.4684,1.4775,1.4751,1.4763,1.4787,1256775.52664789,1.605
2022-04-07,1.5147,1.4387,1.51505,1.5133,1.5143,1.5158,406892.89151512,1.4751
2022-04-08,1.5265,1.4277,1.42895,1.4293,1.4283,1.4296,335460.09501384,1.5133
2022-04-09,1.464,1.4255,1.45385,1.4533,1.4535,1.4542,125263.13234215,1.4293
2022-04-10,1.4899,1.431,1.44225,1.4417,1.4417,1.4428,146779.39646117,1.4533
2022-04-11,1.4417,1.314,1.3394,1.3425,1.3389,1.3399,723329.70021184,1.4417
2022-04-12,1.475,1.3286,1.38525,1.384,1.3848,1.3857,800375.10427545,1.3425
2022-04-13,1.4382,1.3689,1.4243,1.4238,1.4238,1.4248,327836.84802928,1.384
2022-04-14,1.4433,1.3527,1.374,1.3744,1.3736,1.3744,457745.9229875,1.4238
2022-04-15,1.4014,1.369,1.39435,1.3946,1.394,1.3947,164295.16258957,1.3744
2022-04-16,1.4038,1.3672,1.3906,1.3888,1.3901,1.3911,128231.75484657,1.3946
2022-04-17,1.3946,1.3538,1.3588,1.357,1.3584,1.3592,202986.55453564,1.3888
2022-04-18,1.4249,1.295,1.4208,1.4205,1.4203,1.4213,651138.31410824,1.357
2022-04-19,1.4485,1.394,1.42535,1.4249,1.425,1.4257,365858.73493669,1.4205
2022-04-20,1.4665,1.3977,1.4218,1.4203,1.4211,1.4225,469082.59848208,1.4249
2022-04-21,1.4675,1.3613,1.37545,1.3773,1.3751,1.3758,245957.13518435,1.4203
2022-04-22,1.5036,1.3721,1.3995,1.3997,1.3989,1.4001,1596930.6612338,1.3773
2022-04-23,1.4115,1.345,1.3793,1.3783,1.3789,1.3797,274593.38167374,1.3997
2022-04-24,1.3771,1.3332,1.34875,1.3504,1.3483,1.3492,153749.97794135,1.3783
2022-04-25,1.3551,1.2649,1.3533,1.3551,1.3528,1.3538,466758.95785597,1.3504
2022-04-26,1.3632,1.2384,1.2453,1.2448,1.245,1.2456,301119.93965129,1.3551
2022-04-27,1.2918,1.2328,1.2529,1.2522,1.2525,1.2533,385764.92142105,1.2448
2022-04-28,1.2792,1.2269,1.2398,1.2418,1.2394,1.2402,264632.82519549,1.2522
2022-04-29,1.2458,1.1293,1.14535,1.1456,1.1449,1.1458,637070.0029304799,1.2418
2022-04-30,1.1645,1.0116,1.0325,1.0347,1.0318,1.0332,823845.63920216,1.1456
2022-05-01,1.1227,1.016,1.09975,1.1002,1.0996,1.0999,2192127.65927176,1.0347
2022-05-02,1.1204,1.0389,1.083,1.0846,1.0826,1.0834,1305096.82573814,1.1002
2022-05-03,1.1165,1.0545,1.0756,1.0759,1.0753,1.0759,420417.97068981,1.0846
2022-05-04,1.1724,1.0697,1.1628,1.1616,1.1624,1.1632,817034.4774424,1.0759
2022-05-05,1.1863,1.0302,1.06375,1.0656,1.0635,1.064,1404269.9257775,1.1616
2022-05-06,1.0761,1.0127,1.0477,1.048,1.0474,1.048,1630624.56761122,1.0656
2022-05-07,1.0659,0.993,1.0234,1.0231,1.0226,1.0242,1011127.66761869,1.048
2022-05-08,1.0308,0.9618,0.978965,0.9803,0.9788,0.97913,846915.51239361,1.0231
2022-05-09,0.9911,0.7908,0.840295,0.84138,0.8399,0.84069,3835828.14445852,0.9803
2022-05-10,0.98922,0.79389,0.90798,0.90791,0.90742,0.90854,5263756.86684837,0.84138
2022-05-11,0.91208,0.60388,0.660875,0.66281,0.6601,0.66165,9006614.59400714,0.90791
2022-05-12,0.71588,0.49612,0.60213,0.60136,0.6017,0.60256,9620480.08296321,0.66281
2022-05-13,0.75293,0.59221,0.68023,0.67904,0.67955,0.68091,1872837.49523559,0.60136
2022-05-14,0.70992,0.61561,0.67936,0.67882,0.67891,0.67981,1249936.07742734,0.67904
2022-05-15,0.73451,0.657,0.72619,0.72577,0.7258,0.72658,996951.82461193,0.67882
2022-05-16,0.74238,0.66155,0.67895,0.68168,0.67876,0.67914,676781.5317964,0.72577
2022-05-17,0.735,0.67215,0.73412,0.73283,0.73367,0.73457,1316034.6553941,0.68168
2022-05-18,0.73689,0.63369,0.64638,0.64668,0.646,0.64676,1584365.81301113,0.73283
2022-05-19,0.67166,0.60977,0.65066,0.65146,0.6503,0.65102,1775425.04020524,0.64668
2022-05-20,0.67909,0.61823,0.646455,0.64649,0.64645,0.64646,885526.03365814,0.65146
2022-05-21,0.66026,0.62123,0.647615,0.64762,0.64761,0.64762,958644.5764524,0.64649
2022-05-22,0.68089,0.6406,0.67871,0.6794,0.67836,0.67906,877413.37759034,0.64762
2022-05-23,0.7,0.64131,0.64219,0.64278,0.64174,0.64264,1168868.30571543,0.6794
2022-05-24,0.66796,0.61087,0.663475,0.66316,0.66313,0.66382,1455688.51206428,0.64278
2022-05-25,0.67301,0.62801,0.650265,0.64977,0.64994,0.65059,1021027.20164236,0.66316
2022-05-26,0.6588,0.5778,0.60447,0.60411,0.60427,0.60467,2024229.3920862,0.64977
2022-05-27,0.61077,0.5646,0.577645,0.57774,0.57745,0.57784,1916030.21781595,0.60411
2022-05-28,0.59629,0.56913,0.58709,0.58742,0.58693,0.58725,586526.54527727,0.57774
2022-05-29,0.60096,0.57485,0.600345,0.60072,0.60018,0.60051,991270.10519289,0.58742
2022-05-30,0.66018,0.59529,0.657925,0.65928,0.65762,0.65823,986465.96849206,0.60072
2022-05-31,0.68339,0.64419,0.66274,0.66307,0.66253,0.66295,1313501.05931638,0.65928
2022-06-01,0.67073,0.58589,0.60387,0.60404,0.60358,0.60416,1559115.09681561,0.66307
2022-06-02,0.62218,0.59112,0.61893,0.61824,0.61877,0.61909,852971.62902637,0.60404
2022-06-03,0.62142,0.57689,0.589955,0.58989,0.58989,0.59002,365622.1551114,0.61824
2022-06-04,0.6008,0.57679,0.594135,0.59494,0.59393,0.59434,336068.48745604,0.58989
2022-06-05,0.60609,0.58429,0.600775,0.60149,0.60064,0.60091,313643.42978387,0.59494
2022-06-06,0.65601,0.59626,0.6284,0.62864,0.62816,0.62864,1702147.85865901,0.60149
2022-06-07,0.63353,0.58425,0.614325,0.6146,0.61405,0.6146,961069.19477503,0.62864
2022-06-08,0.63302,0.60227,0.609665,0.60975,0.60951,0.60982,399998.80096208,0.6146
2022-06-09,0.65191,0.60274,0.62744,0.62789,0.62722,0.62766,596385.53741471,0.60975
2022-06-10,0.66276,0.5933,0.600775,0.60027,0.60077,0.60078,884047.74548429,0.62789
2022-06-11,0.60624,0.53203,0.543915,0.54449,0.54352,0.54431,1311273.31423489,0.60027
2022-06-12,0.5459,0.50197,0.51313,0.5147,0.51291,0.51335,1181225.78027142,0.54449
2022-06-13,0.5147,0.40325,0.419215,0.41884,0.41893,0.4195,6088237.68815276,0.5147
2022-06-14,0.45154,0.39575,0.405735,0.40596,0.40544,0.40603,3941166.02858279,0.41884
2022-06-15,0.4323,0.36379,0.43043,0.43068,0.43021,0.43065,3384556.07411732,0.40596
2022-06-16,0.44471,0.3783,0.378,0.37841,0.37778,0.37822,1646261.16565229,0.43068
2022-06-17,0.40746,0.37577,0.39769,0.39744,0.39742,0.39796,906589.08393654,0.37841
2022-06-18,0.40608,0.3168,0.3454,0.34623,0.34515,0.34565,2371601.12959458,0.39744
2022-06-19,0.384,0.32695,0.37698,0.37747,0.3768,0.37716,2364481.15035657,0.34623
2022-06-20,0.41021,0.35898,0.394935,0.39446,0.39461,0.39526,1544854.82568827,0.37747
2022-06-21,0.45341,0.39151,0.426915,0.42128,0.4267,0.42713,1008932.24289795,0.39446
2022-06-22,0.47018,0.3945,0.45998,0.45955,0.4598,0.46016,1406115.08254429,0.42128
2022-06-23,0.56423,0.45375,0.55989,0.55984,0.55964,0.56014,4397356.82164424,0.45955
2022-06-24,0.62568,0.55641,0.600925,0.6013,0.60069,0.60116,3392463.90445428,0.55984
2022-06-25,0.62689,0.56654,0.59879,0.59859,0.5984,0.59918,1310730.08423566,0.6013
2022-06-26,0.6262,0.56842,0.57543,0.57511,0.57525,0.57561,1063031.63015927,0.59859
2022-06-27,0.5961,0.52105,0.540425,0.54018,0.54026,0.54059,2180478.51042431,0.57511
2022-06-28,0.5744,0.50443,0.514915,0.51472,0.51473,0.5151,1826562.86572424,0.54018
2022-06-29,0.54573,0.48543,0.49698,0.49638,0.49683,0.49713,1716560.5853058,0.51472
2022-06-30,0.49629,0.41819,0.4556,0.45572,0.45536,0.45584,1946231.55491065,0.49638
2022-07-01,0.49749,0.44766,0.4661,0.46566,0.46579,0.46641,1686020.06099096,0.45572
2022-07-02,0.49207,0.44868,0.49021,0.49046,0.49006,0.49036,917877.78132135,0.46566
2022-07-03,0.49542,0.44856,0.462415,0.46281,0.46213,0.4627,968577.98900054,0.49046
2022-07-04,0.48871,0.45156,0.48511,0.48554,0.48494,0.48528,1054279.60327632,0.46281
2022-07-05,0.53474,0.48548,0.515095,0.51468,0.51503,0.51516,2294622.89939997,0.48554
2022-07-06,0.52837,0.49291,0.529605,0.52837,0.52947,0.52974,992732.80874866,0.51468
2022-07-07,0.57222,0.51194,0.55619,0.55731,0.55591,0.55647,1303715.35847283,0.52837
2022-07-08,0.61557,0.55557,0.610975,0.60983,0.61067,0.61128,1787943.49448505,0.55731
2022-07-09,0.61806,0.58353,0.58996,0.58996,0.58965,0.59027,866622.6285673,0.60983
2022-07-10,0.58996,0.55243,0.568885,0.57,0.56868,0.56909,337408.3382776,0.58996
2022-07-11,0.59796,0.53707,0.562785,0.563,0.56257,0.563,1222054.56403548,0.57
2022-07-12,0.59192,0.54232,0.547615,0.54926,0.5476,0.54763,2148372.62942458,0.563
2022-07-13,0.617,0.52096,0.617045,0.61523,0.61677,0.61732,1771285.84606734,0.54926
2022-07-14,0.70468,0.61339,0.694945,0.69464,0.6948,0.69509,3425844.42471763,0.61523
2022-07-15,0.7342,0.67772,0.71636,0.71596,0.71587,0.71685,1547691.71983189,0.69464
2022-07-16,0.74349,0.68276,0.72348,0.7237,0.72338,0.72358,747322.66397997,0.71596
2022-07-17,0.7899,0.72083,0.75944,0.75924,0.7592,0.75968,1258680.48447162,0.7237
2022-07-18,0.98348,0.7459,0.94657,0.94804,0.94612,0.94702,2539714.00332775,0.75924
2022-07-19,0.97926,0.8841,0.94896,0.94961,0.94807,0.94985,2053839.88340126,0.94804
